County,State,None,D0,D1,D2,D3,D4
Lincoln County,GA,77.0422641509434,22.957735849056604,12.030000000000001,0.7069811320754716,0.0,0.0
Lincoln County,ID,45.35471698113208,54.64528301886792,24.528301886792452,1.6143396226415094,0.0,0.0
Lincoln County,KS,0.0,100.0,78.68811320754718,62.51471698113208,32.76018867924528,1.2069811320754718
Lincoln County,KY,62.57094339622642,37.42905660377359,26.137924528301888,0.027735849056603774,0.0,0.0
Lincoln County,ME,99.99698113207548,0.0030188679245283017,0.0,0.0,0.0,0.0
Lincoln County,MN,7.822264150943397,92.1777358490566,53.69301886792453,11.333396226415093,0.0,0.0
Lincoln County,MO,27.342641509433964,72.65735849056604,39.914905660377364,5.286037735849056,0.0,0.0
Lincoln County,MS,55.12207547169811,44.87792452830189,37.735849056603776,35.84905660377358,28.66547169811321,19.531320754716983
Lincoln County,MT,0.0,100.0,89.98471698113207,40.9688679245283,7.309622641509433,0.0
Lincoln County,NC,73.5622641509434,26.437735849056605,22.641509433962263,11.446226415094339,1.3645283018867924,0.0
Lincoln County,NE,15.493584905660377,84.50641509433963,60.64018867924528,41.98018867924528,22.412075471698113,1.0569811320754718
Lincoln County,NM,19.07622641509434,80.92377358490566,41.56169811320755,32.58547169811321,8.159622641509433,0.0
Lincoln County,NV,38.18679245283019,61.81320754716981,41.57603773584906,20.861886792452832,6.870566037735848,0.0
Lincoln County,OK,48.009433962264154,51.990566037735846,30.661509433962262,23.93943396226415,13.550754716981134,0.6049056603773585
Lincoln County,OR,17.216603773584907,82.7833962264151,50.687924528301885,17.592830188679248,1.3883018867924528,0.0
Lincoln County,SD,0.0,100.0,61.382075471698116,31.39301886792453,0.0,0.0
Lincoln County,TN,50.99660377358491,49.00339622641509,27.76056603773585,20.754716981132077,13.896415094339622,0.0
Lincoln County,WA,49.67415094339623,50.32584905660377,11.715471698113207,0.0,0.0,0.0
Lincoln County,WI,40.05358490566038,59.94641509433962,48.874339622641514,22.769056603773585,5.9356603773584915,0.0
Lincoln County,WV,77.2866037735849,22.713396226415092,4.216981132075472,0.0,0.0,0.0
