"Unit ID","Subnational unit (province, state)","Latitude","Longitude","Status","Status year","Production/reserves","Fuel description","Data year","Quantity (converted)","Units (converted)"
"OG0015537","Colorado",39.27222069,-107.8360716,"operating",2024,"production","gas","2024.0",176.3563925,"million m³/y"
"OG0015606","Federal offshore",28.466,-89.025,"operating",2023,"production","gas","2022.0",72.71890132,"million m³/y"
"OG0015655","Louisiana",29.33444112,-90.22535376,"operating",2020,"production","gas","2020.0",24.98737081,"million m³/y"
"OG0015677","Louisiana",29.91040164,-91.12593106,"operating",2022,"production","gas","2020.0",11.22641937,"million m³/y"
"OG0015745","Federal offshore",28.362,-90.202,"operating",2023,"production","gas","2023.0",424.709302,"million m³/y"
"OG0015756","Louisiana",32.68466214,-92.72393133,"operating",2024,"production","gas","2022.0",40.05646326,"million m³/y"
"OG0015791","West Virginia",39.68435423,-80.17622103,"operating",2023,"production","gas","2021.0",3702.907461,"million m³/y"
"OG0015859","Louisiana",30.60120282,-91.51612253,"operating",2024,"production","gas","2023.0",74.45343339,"million m³/y"
"OG0015931","Colorado",40.37113318,-104.7424244,"operating",2024,"production","gas","2020.0",236.0842985,"million m³/y"
"OG0015932","Colorado",40.430875,-104.8159189,"operating",2024,"production","gas","2024.0",35.05748266,"million m³/y"
"OG0015912","Louisiana",30.13351628,-92.71570445,"operating",2024,"production","gas","2020.0",27.77559111,"million m³/y"
"OG0016067","Ohio",39.97583189,-80.99435784,"operating",2020,"production","gas","2021.0",6045.841937,"million m³/y"
"OG0015953","Colorado",40.1105332,-104.82414,"operating",2024,"production","gas","2024.0",86.64878947,"million m³/y"
"OG0015971","Louisiana",29.55268743,-91.03923653,"operating",2020,"production","gas","2020.0",32.60325641,"million m³/y"
"OG0016156","Louisiana",29.94944757,-93.74637005,"operating",2022,"production","gas","2020.0",26.42792015,"million m³/y"
"OG0016211","Federal offshore",28.369,-87.939,"operating",2023,"production","gas","2020.0",301.9772901,"million m³/y"
"OG0016204","Federal offshore",26.11466667,-94.91033333,"operating",2023,"production","gas","2020.0",718.9425173,"million m³/y"
"OG0016205","Federal offshore",28.608,-88.0155,"operating",2023,"production","gas","2023.0",475.1495682,"million m³/y"
"OG0016207","Federal offshore",26.4805,-90.775,"operating",2023,"production","gas","2022.0",50.93858134,"million m³/y"
"OG0016208","Federal offshore",28.609,-87.9165,"operating",2023,"production","gas","2022.0",107.7089339,"million m³/y"
