"Unit ID","Subnational unit (province, state)","Latitude","Longitude","Status","Status year","Production/reserves","Fuel description","Data year","Quantity (converted)","Units (converted)"
"OG0016611","Federal offshore",28.1518,-89.9544,"operating",2023,"production","oil","2020.0",4.336574,"million bbl/y"
"OG0016613","Federal offshore",28.687,-90.313,"operating",2023,"production","oil","2020.0",0.072275,"million bbl/y"
"OG0016690","Louisiana",29.04078997,-89.28189045,"operating",2024,"production","oil","2023.0",0.29312,"million bbl/y"
"OG0016691","Louisiana",29.5386345,-90.85853993,"operating",2024,"production","oil","2023.0",0.131359,"million bbl/y"
"OG0016689","Louisiana",29.07484204,-89.16974745,"operating",2024,"production","oil","2022.0",0.247051,"million bbl/y"
"OG0016833","Louisiana",32.29678487,-93.03373775,"operating",2024,"production","oil","2022.0",0.002492,"million bbl/y"
"OG0016832","Louisiana",32.80598146,-93.37178136,"operating",2024,"production","oil","2022.0",0.08243,"million bbl/y"
"OG0016860","Wyoming",43.17393952,-107.5639937,"operating",2022,"production","oil","2022.0",0.109387,"million bbl/y"
"OG0016865","Wyoming",43.56355125,-105.4122725,"operating",2022,"production","oil","2022.0",0.46121,"million bbl/y"
"OG0016870","Wyoming",44.07876438,-105.6403188,"operating",2020,"production","oil","2022.0",0.391248,"million bbl/y"
"OG0016877","Wyoming",42.05956265,-110.0030103,"operating",2020,"production","oil","2022.0",0.005157,"million bbl/y"
"OG0016889","Wyoming",43.23448265,-105.6511157,"operating",2020,"production","oil","2022.0",2.003856,"million bbl/y"
"OG0016892","Wyoming",41.34486316,-107.8511483,"operating",2020,"production","oil","2022.0",0.020187,"million bbl/y"
"OG0016894","Wyoming",41.62108368,-107.8000056,"operating",2020,"production","oil","2022.0",0.231263,"million bbl/y"
"OG0016896","Wyoming",41.85485485,-108.0061885,"operating",2020,"production","oil","2022.0",0.322331,"million bbl/y"
"OG0016898","Wyoming",41.66854138,-107.9514893,"operating",2020,"production","oil","2022.0",0.086841,"million bbl/y"
"OG0016900","Wyoming",41.465777,-107.9479113,"operating",2020,"production","oil","2022.0",0.090503,"million bbl/y"
"OG0016902","Wyoming",42.752811,-108.1697343,"operating",2020,"production","oil","2022.0",0.565776,"million bbl/y"
"OG0016918","Wyoming",42.41327889,-110.4106228,"operating",2020,"production","oil","2020.0",0,"million bbl/y"
"OG0016920","Wyoming",42.30561523,-110.3162687,"operating",2020,"production","oil","2022.0",0.002054,"million bbl/y"
"OG0016924","Wyoming",43.3985045,-106.283638,"operating",2022,"production","oil","2020.0",3.733591,"million bbl/y"
"OG0016926","Wyoming",42.32300277,-110.2407807,"operating",2020,"production","oil","2020.0",0.033138,"million bbl/y"
"OG0016928","Wyoming",41.47659583,-110.0818104,"operating",2020,"production","oil","2020.0",0.004272,"million bbl/y"
"OG0016930","Wyoming",41.66613912,-110.0224947,"operating",2020,"production","oil","2022.0",0.005174,"million bbl/y"
"OG0016932","Wyoming",42.28533596,-110.2616966,"operating",2022,"production","oil","2022.0",0.039539,"million bbl/y"
"OG0016937","Wyoming",43.1234068,-107.2040126,"operating",2020,"production","oil","2020.0",0.014129,"million bbl/y"
"OG0016939","Wyoming",41.56795455,-110.9089688,"operating",2020,"production","oil","2020.0",0.003471,"million bbl/y"
"OG0016942","Wyoming",41.1977775,-108.1319,"operating",2020,"production","oil","2020.0",0.010161,"million bbl/y"
"OG0016946","Wyoming",41.20651,-108.166876,"operating",2020,"production","oil","2020.0",0.143093,"million bbl/y"
"OG0016950","Wyoming",42.51997242,-109.6282955,"operating",2020,"production","oil","2020.0",0.020365,"million bbl/y"
"OG0016966","Wyoming",42.12543053,-110.0260766,"operating",2020,"production","oil","2020.0",0.001589,"million bbl/y"
"OG0017004","Wyoming",43.46835571,-104.4494529,"operating",2020,"production","oil","2020.0",0.146222,"million bbl/y"
"OG0017019","Wyoming",41.5510447,-110.0606172,"operating",2022,"production","oil","2020.0",0.012491,"million bbl/y"
"OG0017021","Wyoming",41.43440097,-110.0421565,"operating",2020,"production","oil","2020.0",0.028487,"million bbl/y"
"OG0017027","Wyoming",42.17743884,-110.1150219,"operating",2020,"production","oil","2022.0",0.005899,"million bbl/y"
"OG0017603","Colorado",40.198,-104.731,"operating",2024,"production","oil","2024.0",96.344955,"million bbl/y"
"OG0017605","Colorado",37.0761,-107.7211,"operating",2024,"production","oil","2024.0",0.000327,"million bbl/y"
"OG0017607","Colorado",39.52,-108.1401,"operating",2024,"production","oil","2024.0",0.251445,"million bbl/y"
"OG0017610","Colorado",39.4544,-108.0075,"operating",2024,"production","oil","2024.0",0.076588,"million bbl/y"
"OG0017657","Louisiana",29.88845286,-91.98907318,"operating",2024,"production","oil","2022.0",0.16251,"million bbl/y"
"OG0018086","Wyoming",41.58583,-108.52998,"operating",2023,"production","oil","2022.0",1.509844,"million bbl/y"
"OG0018897","Federal offshore",27.491,-90.071,"operating",2023,"production","oil","2023.0",11.513211,"million bbl/y"
"OG0018902","Federal Offshore",27.924,-89.962,"operating",2023,"production","oil","2023.0",3.85429,"million bbl/y"
"OG0018904","Federal offshore",29.138,-94.533,"operating",2023,"production","oil","2022.0",0.88701,"million bbl/y"
"OG0018906","Federal offshore",27.74933333,-90.73466667,"operating",2023,"production","oil","2022.0",1.378993,"million bbl/y"
"OG0018908","Federal offshore",28.012,-88.7705,"operating",2023,"production","oil","2023.0",2.520164,"million bbl/y"
"OG0018910","Federal offshore",28.213,-88.282,"operating",2023,"production","oil","2022.0",1.11258,"million bbl/y"
"OG0019200","Oklahoma",NA,NA,"operating",2022,"production","oil","2022.0",7.927203,"million bbl/y"
"OG0019224","Oklahoma",NA,NA,"operating",2022,"production","oil","2022.0",3.335928,"million bbl/y"
"OG0019277","Oklahoma",NA,NA,"operating",2022,"production","oil","2022.0",1.572521,"million bbl/y"
"OG0019301","Oklahoma",NA,NA,"operating",2022,"production","oil","2022.0",1.161243,"million bbl/y"
"OG0019317","Oklahoma",NA,NA,"operating",2022,"production","oil","2022.0",1.064339,"million bbl/y"
"OG0019551","Federal offshore",27.537,-90.168,"operating",2023,"production","oil","2022.0",1.033327,"million bbl/y"
"OG0021853","Texas",29.68921508,-94.51181516,"operating",2023,"production","oil","2023.0",1.513027,"million bbl/y"
"OG0022261","California",35.45220574,-118.9978984,"operating",2023,"production","oil","2023.0",13.87384671,"million bbl/y"
"OG0022269","California",36.17673373,-120.3957941,"operating",2023,"production","oil","2023.0",2.70770448,"million bbl/y"
"OG0022279","California",35.9425204,-120.8492921,"operating",2023,"production","oil","2023.0",1.537802479,"million bbl/y"
"OG0022287","California",35.27722873,-119.4309123,"operating",2023,"production","oil","2023.0",1.056299,"million bbl/y"
"OG0022549","Pennsylvania",41.75013781,-75.83461713,"operating",2023,"production","oil","2023.0",0,"million bbl/y"
"OG0022554","Pennsylvania",40.06130707,-80.25480689,"operating",2023,"production","oil","2023.0",0,"million bbl/y"
"OG0022557","Pennsylvania",41.63892057,-78.19046375,"operating",2023,"production","oil","2023.0",0,"million bbl/y"
"OG0022562","Pennsylvania",40.01476276,-79.83788168,"operating",2023,"production","oil","2023.0",0,"million bbl/y"
"OG0022573","Pennsylvania",40.05385663,-80.1222037,"operating",2023,"production","oil","2023.0",0,"million bbl/y"
"OG0022586","Pennsylvania",41.05217241,-79.80003332,"operating",2023,"production","oil","2023.0",0,"million bbl/y"
