County,GEOID,Latitude,Longitude,geometry,Gas Production Quantity,Oil Production Quantity,Wind Plant Capacity,Wildfire Hazard Potential Score,Drought Risk Score
,,28.79175,-89.05575,POINT (-89.05575 28.79175),0.3497654336453742,0.1431863519828817,,,
,48255,28.79759827,-97.97512416,POINT (-97.97512416 28.79759827),0.4317184888977043,,,12.9,0.205203164152705
,,28.859,-88.958,POINT (-88.958 28.859),0.2508293599250884,0.1419292551736927,,,
Matagorda County,48321,28.8678,-95.9168,POINT (-95.9168 28.8678),,,0.6045708198528301,8.7,0.0597828087612737
,48255,28.87636295,-97.93562331,POINT (-97.93562331 28.87636295),0.566293338934332,,,12.9,0.205203164152705
,48255,28.93363449,-98.00481559,POINT (-98.00481559 28.93363449),0.3508376267826714,,,12.9,0.205203164152705
,,28.93975,-89.702,POINT (-89.702 28.93975),0.2567382268047186,,,,
,48255,28.95772262,-97.83119701,POINT (-97.83119701 28.95772262),0.2258917916324629,,,12.9,0.205203164152705
,,28.9598,-88.6084,POINT (-88.6084 28.9598),,0.245016233431894,,,
,48255,28.96614837,-97.85165585,POINT (-97.85165585 28.96614837),0.3264572196378366,,,12.9,0.205203164152705
,48255,28.97057372,-97.99116318,POINT (-97.99116318 28.97057372),0.2466358145304232,,,12.9,0.205203164152705
,48255,28.97829658,-97.85267839,POINT (-97.85267839 28.97829658),0.3711397728912331,,,12.9,0.205203164152705
,48255,28.99158805,-97.85821751,POINT (-97.85821751 28.99158805),0.3801470181013224,,,12.9,0.205203164152705
,,28.999,-88.143,POINT (-88.143 28.999),0.4021678216496139,0.1688853332344748,,,
,48123,29.00167197,-97.51036163,POINT (-97.51036163 29.00167197),0.4446835941287348,,,14.8,0.2
,,29.033,-90.14077778,POINT (-90.14077778 29.033),,0.1871838059823867,,,
,,29.04078997,-89.28189045,POINT (-89.28189045 29.04078997),,0.0561474996993074,,,
,48123,29.050888,-97.62652344,POINT (-97.62652344 29.050888),0.644331029848595,,,14.8,0.2
,,29.06525,-88.06925,POINT (-88.06925 29.06525),0.3262528558670018,0.0932217226311046,,,
,22075,29.07484204,-89.16974745,POINT (-89.16974745 29.07484204),,0.0482238929791021,,3.1,0.306343859649123
,22057,29.07901052,-90.31017573,POINT (-90.31017573 29.07901052),,0.0352145369736107,,9.5,0.461867927864215
,,29.08979909,-90.14878324,POINT (-90.14878324 29.08979909),0.2077211193135104,0.1839474134021564,,,
,48123,29.09659691,-97.51219701,POINT (-97.51219701 29.09659691),0.5902373369316506,,,14.8,0.2
,,29.1095,-87.946,POINT (-87.946 29.1095),0.2110026995273815,0.1061707730275866,,,
,,29.11971228,-89.39681889,POINT (-89.39681889 29.11971228),0.1585670470516078,,,,
,,29.138,-94.533,POINT (-94.533 29.138),,0.1386975488436494,,,
,,29.15997451,-89.46575478,POINT (-89.46575478 29.15997451),0.0322792685811335,0.0235078236196782,,,
,,29.1915,-88.7325,POINT (-88.7325 29.1915),,0.1004592532413296,,,
,22075,29.24088,-89.18350552,POINT (-89.18350552 29.24088),,0.046931835608969,,3.1,0.306343859649123
,22075,29.24629198,-89.409263,POINT (-89.409263 29.24629198),0.0726926077793767,,,3.1,0.306343859649123
,,29.28203925,-91.14035352,POINT (-91.14035352 29.28203925),0.2896183120341115,,,,
,22109,29.29654204,-91.00304935,POINT (-91.00304935 29.29654204),,0.0268136670237618,,9.0,0.432906721472278
,22057,29.33444112,-90.22535376,POINT (-90.22535376 29.33444112),0.2428828631139555,,,9.5,0.461867927864215
,,29.38341894,-91.48910631,POINT (-91.48910631 29.38341894),0.0954958402468437,,,,
,22057,29.39346926,-90.29592936,POINT (-90.29592936 29.39346926),0.297075456343566,0.0472957195838361,,9.5,0.461867927864215
,,29.398,-92.013,POINT (-92.013 29.398),,0.0503625047801949,,,
,,29.39897132,-91.76347171,POINT (-91.76347171 29.39897132),0.4282429044236779,,,,
,,29.41959546,-91.47195564,POINT (-91.47195564 29.41959546),0.4486279983709803,,,,
,,29.45811672,-91.92797892,POINT (-91.92797892 29.45811672),,0.0071192965756574,,,
,22057,29.49937299,-90.3637917,POINT (-90.3637917 29.49937299),0.1448699123980597,0.038176953637805,,9.5,0.461867927864215
,,29.52654012,-89.48479184,POINT (-89.48479184 29.52654012),,0.0370935137616296,,,
,22109,29.5386345,-90.85853993,POINT (-90.85853993 29.5386345),0.1162758465764384,0.0269577395181874,,9.0,0.432906721472278
,48039,29.542834,-95.39756786,POINT (-95.39756786 29.542834),0.1898488481993006,,,14.6,0.0249927933121937
,22109,29.55268743,-91.03923653,POINT (-91.03923653 29.55268743),0.2696915357727375,,,9.0,0.432906721472278
,,29.57187095,-89.12764515,POINT (-89.12764515 29.57187095),,0.0878792668488922,,,
,22101,29.60421631,-91.52960632,POINT (-91.52960632 29.60421631),0.1427232574268165,0.0325545201217359,,7.2,0.27631034617336
